GP,Compound,TyreLife,deg_delta,n_samples
70th Anniversary Grand Prix,HARD,2,0.0,27
70th Anniversary Grand Prix,HARD,3,0.028,31
70th Anniversary Grand Prix,HARD,4,0.365,32
70th Anniversary Grand Prix,HARD,5,0.2145,32
70th Anniversary Grand Prix,HARD,6,0.309,34
70th Anniversary Grand Prix,HARD,7,0.56,34
70th Anniversary Grand Prix,HARD,8,0.653,34
70th Anniversary Grand Prix,HARD,9,0.417,33
70th Anniversary Grand Prix,HARD,10,0.5175,32
70th Anniversary Grand Prix,HARD,11,0.585,32
70th Anniversary Grand Prix,HARD,12,0.469,31
70th Anniversary Grand Prix,HARD,13,0.678,29
70th Anniversary Grand Prix,HARD,14,0.348,27
70th Anniversary Grand Prix,HARD,15,0.563,25
70th Anniversary Grand Prix,HARD,16,0.553,23
70th Anniversary Grand Prix,HARD,17,0.308,21
70th Anniversary Grand Prix,HARD,18,0.225,21
70th Anniversary Grand Prix,HARD,19,0.306,18
70th Anniversary Grand Prix,HARD,20,0.3695,16
70th Anniversary Grand Prix,HARD,21,0.089,15
70th Anniversary Grand Prix,HARD,22,0.8205,12
70th Anniversary Grand Prix,HARD,23,0.404,9
70th Anniversary Grand Prix,HARD,24,0.703,7
70th Anniversary Grand Prix,HARD,25,0.726,7
70th Anniversary Grand Prix,HARD,26,0.496,5
70th Anniversary Grand Prix,HARD,27,0.394,4
70th Anniversary Grand Prix,HARD,28,0.177,4
70th Anniversary Grand Prix,HARD,29,0.174,3
70th Anniversary Grand Prix,MEDIUM,2,0.0,3
70th Anniversary Grand Prix,MEDIUM,3,-0.22,4
70th Anniversary Grand Prix,MEDIUM,4,0.0,7
70th Anniversary Grand Prix,MEDIUM,5,0.0,16
70th Anniversary Grand Prix,MEDIUM,6,-0.313,16
70th Anniversary Grand Prix,MEDIUM,7,-0.216,17
70th Anniversary Grand Prix,MEDIUM,8,0.122,17
70th Anniversary Grand Prix,MEDIUM,9,0.102,18
70th Anniversary Grand Prix,MEDIUM,10,0.067,17
70th Anniversary Grand Prix,MEDIUM,11,0.117,17
70th Anniversary Grand Prix,MEDIUM,12,0.158,17
70th Anniversary Grand Prix,MEDIUM,13,-0.083,17
70th Anniversary Grand Prix,MEDIUM,14,0.048,17
70th Anniversary Grand Prix,MEDIUM,15,0.1495,14
70th Anniversary Grand Prix,MEDIUM,16,0.066,13
70th Anniversary Grand Prix,MEDIUM,17,0.226,11
70th Anniversary Grand Prix,MEDIUM,18,-0.4405,8
70th Anniversary Grand Prix,MEDIUM,19,-0.4475,6
70th Anniversary Grand Prix,MEDIUM,20,-0.057,5
Abu Dhabi Grand Prix,HARD,2,0.0,103
Abu Dhabi Grand Prix,HARD,3,0.071,119
Abu Dhabi Grand Prix,HARD,4,0.094,132
Abu Dhabi Grand Prix,HARD,5,0.2,135
Abu Dhabi Grand Prix,HARD,6,0.2665,132
Abu Dhabi Grand Prix,HARD,7,0.2635,134
Abu Dhabi Grand Prix,HARD,8,0.4225,134
Abu Dhabi Grand Prix,HARD,9,0.379,135
Abu Dhabi Grand Prix,HARD,10,0.461,133
Abu Dhabi Grand Prix,HARD,11,0.425,132
Abu Dhabi Grand Prix,HARD,12,0.5125,128
Abu Dhabi Grand Prix,HARD,13,0.56,130
Abu Dhabi Grand Prix,HARD,14,0.563,129
Abu Dhabi Grand Prix,HARD,15,0.588,131
Abu Dhabi Grand Prix,HARD,16,0.6815,128
Abu Dhabi Grand Prix,HARD,17,0.7495,124
Abu Dhabi Grand Prix,HARD,18,0.654,116
Abu Dhabi Grand Prix,HARD,19,0.712,113
Abu Dhabi Grand Prix,HARD,20,0.833,109
Abu Dhabi Grand Prix,HARD,21,0.839,107
Abu Dhabi Grand Prix,HARD,22,0.956,106
Abu Dhabi Grand Prix,HARD,23,0.951,96
Abu Dhabi Grand Prix,HARD,24,0.8925,86
Abu Dhabi Grand Prix,HARD,25,1.0175,82
Abu Dhabi Grand Prix,HARD,26,0.981,75
Abu Dhabi Grand Prix,HARD,27,0.925,67
Abu Dhabi Grand Prix,HARD,28,0.89,63
Abu Dhabi Grand Prix,HARD,29,1.001,60
Abu Dhabi Grand Prix,HARD,30,0.9625,56
Abu Dhabi Grand Prix,HARD,31,0.9855,50
Abu Dhabi Grand Prix,HARD,32,1.199,50
Abu Dhabi Grand Prix,HARD,33,1.251,44
Abu Dhabi Grand Prix,HARD,34,0.984,40
Abu Dhabi Grand Prix,HARD,35,1.4135,38
Abu Dhabi Grand Prix,HARD,36,1.224,33
Abu Dhabi Grand Prix,HARD,37,1.2085,30
Abu Dhabi Grand Prix,HARD,38,1.422,27
Abu Dhabi Grand Prix,HARD,39,1.208,25
Abu Dhabi Grand Prix,HARD,40,1.8,21
Abu Dhabi Grand Prix,HARD,41,1.477,21
Abu Dhabi Grand Prix,HARD,42,1.452,20
Abu Dhabi Grand Prix,HARD,43,1.171,20
Abu Dhabi Grand Prix,HARD,44,0.831,17
Abu Dhabi Grand Prix,HARD,45,2.2865,14
Abu Dhabi Grand Prix,MEDIUM,2,0.0,57
Abu Dhabi Grand Prix,MEDIUM,3,-0.485,69
Abu Dhabi Grand Prix,MEDIUM,4,0.0,87
Abu Dhabi Grand Prix,MEDIUM,5,-0.056,96
Abu Dhabi Grand Prix,MEDIUM,6,-0.024,98
Abu Dhabi Grand Prix,MEDIUM,7,-0.114,99
Abu Dhabi Grand Prix,MEDIUM,8,0.057,101
Abu Dhabi Grand Prix,MEDIUM,9,0.198,98
Abu Dhabi Grand Prix,MEDIUM,10,0.3215,96
Abu Dhabi Grand Prix,MEDIUM,11,0.348,95
Abu Dhabi Grand Prix,MEDIUM,12,0.533,89
Abu Dhabi Grand Prix,MEDIUM,13,0.6095,80
Abu Dhabi Grand Prix,MEDIUM,14,0.628,73
Abu Dhabi Grand Prix,MEDIUM,15,0.644,61
Abu Dhabi Grand Prix,MEDIUM,16,0.671,58
Abu Dhabi Grand Prix,MEDIUM,17,0.7485,48
Abu Dhabi Grand Prix,MEDIUM,18,0.57,45
Abu Dhabi Grand Prix,MEDIUM,19,0.748,42
Abu Dhabi Grand Prix,MEDIUM,20,0.782,34
Abu Dhabi Grand Prix,MEDIUM,21,0.629,33
Abu Dhabi Grand Prix,MEDIUM,22,0.907,26
Abu Dhabi Grand Prix,MEDIUM,23,0.8425,22
Abu Dhabi Grand Prix,MEDIUM,24,0.961,22
Abu Dhabi Grand Prix,MEDIUM,25,0.935,18
Abu Dhabi Grand Prix,MEDIUM,26,0.568,16
