GP,Compound,deg_rate,deg_rate_25,deg_rate_75,n_stints
70th Anniversary Grand Prix,HARD,0.0269,-0.0178,0.1041,35
70th Anniversary Grand Prix,MEDIUM,0.0309,-0.0225,0.0749,19
Abu Dhabi Grand Prix,HARD,0.0579,0.0375,0.0797,139
Abu Dhabi Grand Prix,MEDIUM,0.0941,0.0384,0.1434,105
Abu Dhabi Grand Prix,SOFT,0.079,0.0293,0.1581,26
Australian Grand Prix,HARD,0.0396,0.0028,0.0787,82
Australian Grand Prix,MEDIUM,0.0587,0.0182,0.0995,42
Australian Grand Prix,SOFT,0.03,0.0095,0.0687,20
Austrian Grand Prix,HARD,0.0756,0.048,0.0896,134
Austrian Grand Prix,MEDIUM,0.0765,0.0374,0.107,120
Austrian Grand Prix,SOFT,0.0224,-0.0067,0.0387,24
Azerbaijan Grand Prix,HARD,0.0166,-0.0051,0.0413,87
Azerbaijan Grand Prix,MEDIUM,0.0504,-0.0034,0.0993,74
Azerbaijan Grand Prix,SOFT,-0.0305,-0.1049,0.122,29
Bahrain Grand Prix,HARD,0.1008,0.0779,0.1285,123
Bahrain Grand Prix,MEDIUM,0.1114,0.0806,0.1646,96
Bahrain Grand Prix,SOFT,0.1137,0.0811,0.1578,130
Belgian Grand Prix,HARD,0.0424,0.0155,0.1154,51
Belgian Grand Prix,MEDIUM,0.1121,0.0362,0.1833,112
Belgian Grand Prix,SOFT,0.071,0.0002,0.1643,62
Brazilian Grand Prix,HARD,0.1263,0.099,0.1423,4
Brazilian Grand Prix,MEDIUM,0.0738,0.0669,0.096,18
Brazilian Grand Prix,SOFT,0.0709,0.0519,0.0823,34
British Grand Prix,HARD,0.0211,-0.0074,0.0465,67
British Grand Prix,MEDIUM,0.0117,-0.0127,0.0404,76
British Grand Prix,SOFT,0.0258,-0.0009,0.0589,45
Canadian Grand Prix,HARD,0.0509,0.0347,0.0609,76
Canadian Grand Prix,MEDIUM,0.0539,0.0231,0.0713,48
Canadian Grand Prix,SOFT,0.106,0.0877,0.1086,4
Chinese Grand Prix,HARD,0.0915,0.068,0.128,41
Chinese Grand Prix,MEDIUM,0.1297,0.0979,0.1612,46
