Driver,Team,LapNumber,LapTime,Stint,Compound,TyreLife,Position,Year,GP,Laps,RacePercentage,GP_ci,Length,Abrasion,Traction,Braking,TrackEvo,Grip,Lateral,Downforce,TyreStress,LapTimePerKM
GAS,Red Bull Racing,3.0,91.406,1.0,MEDIUM,3.0,16.0,2019,Australian Grand Prix,58,0.05172413793103448,,,,,,,,,,,
GAS,Red Bull Racing,5.0,91.171,1.0,MEDIUM,5.0,16.0,2019,Australian Grand Prix,58,0.08620689655172414,,,,,,,,,,,
GAS,Red Bull Racing,6.0,91.02,1.0,MEDIUM,6.0,16.0,2019,Australian Grand Prix,58,0.10344827586206896,,,,,,,,,,,
GAS,Red Bull Racing,7.0,91.165,1.0,MEDIUM,7.0,16.0,2019,Australian Grand Prix,58,0.1206896551724138,,,,,,,,,,,
GAS,Red Bull Racing,8.0,91.434,1.0,MEDIUM,8.0,16.0,2019,Australian Grand Prix,58,0.13793103448275862,,,,,,,,,,,
GAS,Red Bull Racing,9.0,91.161,1.0,MEDIUM,9.0,16.0,2019,Australian Grand Prix,58,0.15517241379310345,,,,,,,,,,,
GAS,Red Bull Racing,10.0,91.449,1.0,MEDIUM,10.0,15.0,2019,Australian Grand Prix,58,0.1724137931034483,,,,,,,,,,,
GAS,Red Bull Racing,11.0,90.129,1.0,MEDIUM,11.0,15.0,2019,Australian Grand Prix,58,0.1896551724137931,,,,,,,,,,,
GAS,Red Bull Racing,12.0,90.497,1.0,MEDIUM,12.0,14.0,2019,Australian Grand Prix,58,0.20689655172413793,,,,,,,,,,,
GAS,Red Bull Racing,13.0,91.143,1.0,MEDIUM,13.0,12.0,2019,Australian Grand Prix,58,0.22413793103448276,,,,,,,,,,,
GAS,Red Bull Racing,14.0,90.303,1.0,MEDIUM,14.0,10.0,2019,Australian Grand Prix,58,0.2413793103448276,,,,,,,,,,,
GAS,Red Bull Racing,15.0,89.907,1.0,MEDIUM,15.0,8.0,2019,Australian Grand Prix,58,0.25862068965517243,,,,,,,,,,,
GAS,Red Bull Racing,16.0,89.569,1.0,MEDIUM,16.0,8.0,2019,Australian Grand Prix,58,0.27586206896551724,,,,,,,,,,,
GAS,Red Bull Racing,17.0,89.83,1.0,MEDIUM,17.0,8.0,2019,Australian Grand Prix,58,0.29310344827586204,,,,,,,,,,,
GAS,Red Bull Racing,18.0,90.036,1.0,MEDIUM,18.0,8.0,2019,Australian Grand Prix,58,0.3103448275862069,,,,,,,,,,,
