Driver,Team,LapNumber,LapTime,Stint,Compound,TyreLife,Position,Year,GP,Laps,RacePercentage,GP_ci,Length,Abrasion,Traction,Braking,TrackEvo,Grip,Lateral,Downforce,TyreStress,LapTimePerKM
GAS,Red Bull Racing,37.0,107.175,1.0,MEDIUM,37.0,10.0,2019,Australian Grand Prix,58,0.6379310344827587,,,,,,,,,,,
PER,Racing Point,13.0,110.063,1.0,SOFT,16.0,16.0,2019,Australian Grand Prix,58,0.22413793103448276,,,,,,,,,,,
LEC,Ferrari,28.0,107.729,1.0,SOFT,31.0,5.0,2019,Australian Grand Prix,58,0.4827586206896552,,,,,,,,,,,
STR,Racing Point,27.0,107.488,1.0,MEDIUM,27.0,10.0,2019,Australian Grand Prix,58,0.46551724137931033,,,,,,,,,,,
MAG,Haas F1 Team,14.0,108.686,1.0,SOFT,17.0,11.0,2019,Australian Grand Prix,58,0.2413793103448276,,,,,,,,,,,
ALB,Toro Rosso,14.0,108.191,1.0,SOFT,14.0,15.0,2019,Australian Grand Prix,58,0.2413793103448276,,,,,,,,,,,
KVY,Toro Rosso,26.0,107.022,1.0,MEDIUM,26.0,11.0,2019,Australian Grand Prix,58,0.4482758620689655,,,,,,,,,,,
HUL,Renault,13.0,107.604,1.0,SOFT,13.0,14.0,2019,Australian Grand Prix,58,0.22413793103448276,,,,,,,,,,,
RIC,Renault,1.0,148.213,1.0,SOFT,1.0,20.0,2019,Australian Grand Prix,58,0.017241379310344827,,,,,,,,,,,
VER,Red Bull Racing,25.0,105.97,1.0,SOFT,28.0,4.0,2019,Australian Grand Prix,58,0.43103448275862066,,,,,,,,,,,
NOR,McLaren,15.0,108.026,1.0,SOFT,18.0,12.0,2019,Australian Grand Prix,58,0.25862068965517243,,,,,,,,,,,
HAM,Mercedes,15.0,106.079,1.0,SOFT,18.0,4.0,2019,Australian Grand Prix,58,0.25862068965517243,,,,,,,,,,,
VET,Ferrari,14.0,106.627,1.0,SOFT,17.0,5.0,2019,Australian Grand Prix,58,0.2413793103448276,,,,,,,,,,,
RUS,Williams,26.0,109.321,1.0,MEDIUM,26.0,18.0,2019,Australian Grand Prix,58,0.4482758620689655,,,,,,,,,,,
RUS,Williams,42.0,110.261,2.0,SOFT,16.0,16.0,2019,Australian Grand Prix,58,0.7241379310344828,,,,,,,,,,,
RAI,Alfa Romeo Racing,12.0,109.402,1.0,SOFT,15.0,16.0,2019,Australian Grand Prix,58,0.20689655172413793,,,,,,,,,,,
BOT,Mercedes,23.0,106.05,1.0,SOFT,26.0,2.0,2019,Australian Grand Prix,58,0.39655172413793105,,,,,,,,,,,
GRO,Haas F1 Team,15.0,116.519,1.0,SOFT,18.0,14.0,2019,Australian Grand Prix,58,0.25862068965517243,,,,,,,,,,,
KUB,Williams,1.0,146.128,1.0,HARD,1.0,19.0,2019,Australian Grand Prix,58,0.017241379310344827,,,,,,,,,,,
KUB,Williams,28.0,110.779,2.0,MEDIUM,27.0,19.0,2019,Australian Grand Prix,58,0.4827586206896552,,,,,,,,,,,
KUB,Williams,44.0,108.376,3.0,SOFT,16.0,17.0,2019,Australian Grand Prix,58,0.7586206896551724,,,,,,,,,,,
GIO,Alfa Romeo Racing,27.0,115.685,1.0,MEDIUM,27.0,17.0,2019,Australian Grand Prix,58,0.46551724137931033,,,,,,,,,,,
GAS,Red Bull Racing,9.0,102.197,1.0,SOFT,12.0,13.0,2019,Bahrain Grand Prix,57,0.15789473684210525,,,,,,,,,,,
GAS,Red Bull Racing,39.0,101.894,2.0,SOFT,30.0,5.0,2019,Bahrain Grand Prix,57,0.6842105263157895,,,,,,,,,,,
PER,Racing Point,8.0,101.397,1.0,SOFT,8.0,11.0,2019,Bahrain Grand Prix,57,0.14035087719298245,,,,,,,,,,,
PER,Racing Point,33.0,103.857,2.0,MEDIUM,25.0,11.0,2019,Bahrain Grand Prix,57,0.5789473684210527,,,,,,,,,,,
LEC,Ferrari,13.0,99.996,1.0,SOFT,16.0,1.0,2019,Bahrain Grand Prix,57,0.22807017543859648,,,,,,,,,,,
LEC,Ferrari,36.0,100.447,2.0,MEDIUM,23.0,1.0,2019,Bahrain Grand Prix,57,0.631578947368421,,,,,,,,,,,
STR,Racing Point,1.0,132.92,1.0,SOFT,1.0,19.0,2019,Bahrain Grand Prix,57,0.017543859649122806,,,,,,,,,,,
STR,Racing Point,23.0,103.367,2.0,MEDIUM,22.0,19.0,2019,Bahrain Grand Prix,57,0.40350877192982454,,,,,,,,,,,
MAG,Haas F1 Team,10.0,101.536,1.0,SOFT,13.0,11.0,2019,Bahrain Grand Prix,57,0.17543859649122806,,,,,,,,,,,
MAG,Haas F1 Team,38.0,104.498,2.0,MEDIUM,28.0,15.0,2019,Bahrain Grand Prix,57,0.6666666666666666,,,,,,,,,,,
ALB,Toro Rosso,9.0,102.61,1.0,SOFT,12.0,14.0,2019,Bahrain Grand Prix,57,0.15789473684210525,,,,,,,,,,,
ALB,Toro Rosso,25.0,101.438,2.0,SOFT,16.0,12.0,2019,Bahrain Grand Prix,57,0.43859649122807015,,,,,,,,,,,
KVY,Toro Rosso,12.0,116.914,1.0,SOFT,12.0,13.0,2019,Bahrain Grand Prix,57,0.21052631578947367,,,,,,,,,,,
KVY,Toro Rosso,38.0,101.81,2.0,MEDIUM,26.0,13.0,2019,Bahrain Grand Prix,57,0.6666666666666666,,,,,,,,,,,
HUL,Renault,12.0,100.753,1.0,SOFT,12.0,6.0,2019,Bahrain Grand Prix,57,0.21052631578947367,,,,,,,,,,,
HUL,Renault,32.0,101.252,2.0,SOFT,20.0,6.0,2019,Bahrain Grand Prix,57,0.5614035087719298,,,,,,,,,,,
RIC,Renault,24.0,102.732,1.0,SOFT,24.0,9.0,2019,Bahrain Grand Prix,57,0.42105263157894735,,,,,,,,,,,
VER,Red Bull Racing,11.0,100.633,1.0,SOFT,14.0,5.0,2019,Bahrain Grand Prix,57,0.19298245614035087,,,,,,,,,,,
VER,Red Bull Racing,32.0,101.54,2.0,MEDIUM,21.0,5.0,2019,Bahrain Grand Prix,57,0.5614035087719298,,,,,,,,,,,
NOR,McLaren,10.0,101.271,1.0,SOFT,13.0,9.0,2019,Bahrain Grand Prix,57,0.17543859649122806,,,,,,,,,,,
NOR,McLaren,34.0,101.958,2.0,MEDIUM,24.0,6.0,2019,Bahrain Grand Prix,57,0.5964912280701754,,,,,,,,,,,
HAM,Mercedes,13.0,100.72,1.0,SOFT,16.0,3.0,2019,Bahrain Grand Prix,57,0.22807017543859648,,,,,,,,,,,
HAM,Mercedes,34.0,100.157,2.0,SOFT,21.0,3.0,2019,Bahrain Grand Prix,57,0.5964912280701754,,,,,,,,,,,
VET,Ferrari,14.0,100.434,1.0,SOFT,17.0,1.0,2019,Bahrain Grand Prix,57,0.24561403508771928,,,,,,,,,,,
VET,Ferrari,35.0,100.527,2.0,MEDIUM,21.0,2.0,2019,Bahrain Grand Prix,57,0.6140350877192983,,,,,,,,,,,
VET,Ferrari,38.0,123.493,3.0,MEDIUM,3.0,4.0,2019,Bahrain Grand Prix,57,0.6666666666666666,,,,,,,,,,,
SAI,McLaren,4.0,135.038,1.0,SOFT,7.0,18.0,2019,Bahrain Grand Prix,57,0.07017543859649122,,,,,,,,,,,
SAI,McLaren,24.0,104.566,2.0,MEDIUM,20.0,18.0,2019,Bahrain Grand Prix,57,0.42105263157894735,,,,,,,,,,,
SAI,McLaren,40.0,101.31,3.0,HARD,17.0,18.0,2019,Bahrain Grand Prix,57,0.7017543859649122,,,,,,,,,,,
SAI,McLaren,53.0,104.824,4.0,SOFT,16.0,17.0,2019,Bahrain Grand Prix,57,0.9298245614035088,,,,,,,,,,,
RUS,Williams,12.0,103.06,1.0,SOFT,12.0,16.0,2019,Bahrain Grand Prix,57,0.21052631578947367,,,,,,,,,,,
RUS,Williams,26.0,102.306,2.0,MEDIUM,14.0,16.0,2019,Bahrain Grand Prix,57,0.45614035087719296,,,,,,,,,,,
RAI,Alfa Romeo Racing,9.0,100.696,1.0,SOFT,12.0,8.0,2019,Bahrain Grand Prix,57,0.15789473684210525,,,,,,,,,,,
RAI,Alfa Romeo Racing,33.0,103.346,2.0,MEDIUM,24.0,8.0,2019,Bahrain Grand Prix,57,0.5789473684210527,,,,,,,,,,,
BOT,Mercedes,12.0,100.185,1.0,SOFT,15.0,4.0,2019,Bahrain Grand Prix,57,0.21052631578947367,,,,,,,,,,,
BOT,Mercedes,37.0,101.713,2.0,MEDIUM,25.0,4.0,2019,Bahrain Grand Prix,57,0.6491228070175439,,,,,,,,,,,
GRO,Haas F1 Team,1.0,139.964,1.0,SOFT,4.0,20.0,2019,Bahrain Grand Prix,57,0.017543859649122806,,,,,,,,,,,
GRO,Haas F1 Team,16.0,102.879,2.0,MEDIUM,15.0,20.0,2019,Bahrain Grand Prix,57,0.2807017543859649,,,,,,,,,,,
