LapNumber,GP,Year,TrackStatus,Label
1,Australian Grand Prix,2019,2,Yellow
2,Australian Grand Prix,2019,1,AllClear
3,Australian Grand Prix,2019,1,AllClear
4,Australian Grand Prix,2019,1,AllClear
5,Australian Grand Prix,2019,1,AllClear
6,Australian Grand Prix,2019,1,AllClear
7,Australian Grand Prix,2019,1,AllClear
8,Australian Grand Prix,2019,1,AllClear
9,Australian Grand Prix,2019,1,AllClear
10,Australian Grand Prix,2019,1,AllClear
11,Australian Grand Prix,2019,1,AllClear
12,Australian Grand Prix,2019,1,AllClear
13,Australian Grand Prix,2019,1,AllClear
14,Australian Grand Prix,2019,1,AllClear
15,Australian Grand Prix,2019,1,AllClear
16,Australian Grand Prix,2019,1,AllClear
17,Australian Grand Prix,2019,1,AllClear
18,Australian Grand Prix,2019,1,AllClear
19,Australian Grand Prix,2019,1,AllClear
20,Australian Grand Prix,2019,1,AllClear
21,Australian Grand Prix,2019,1,AllClear
22,Australian Grand Prix,2019,1,AllClear
23,Australian Grand Prix,2019,1,AllClear
24,Australian Grand Prix,2019,1,AllClear
25,Australian Grand Prix,2019,1,AllClear
26,Australian Grand Prix,2019,1,AllClear
27,Australian Grand Prix,2019,1,AllClear
28,Australian Grand Prix,2019,1,AllClear
29,Australian Grand Prix,2019,2,Yellow
30,Australian Grand Prix,2019,2,Yellow
31,Australian Grand Prix,2019,2,Yellow
32,Australian Grand Prix,2019,1,AllClear
33,Australian Grand Prix,2019,1,AllClear
34,Australian Grand Prix,2019,1,AllClear
35,Australian Grand Prix,2019,1,AllClear
36,Australian Grand Prix,2019,1,AllClear
37,Australian Grand Prix,2019,1,AllClear
38,Australian Grand Prix,2019,1,AllClear
39,Australian Grand Prix,2019,1,AllClear
40,Australian Grand Prix,2019,1,AllClear
41,Australian Grand Prix,2019,1,AllClear
42,Australian Grand Prix,2019,1,AllClear
43,Australian Grand Prix,2019,1,AllClear
44,Australian Grand Prix,2019,1,AllClear
45,Australian Grand Prix,2019,1,AllClear
