LapNumber,GP,Year,TrackStatus,Label
1,Bahrain Grand Prix,2024,2,Yellow
2,Bahrain Grand Prix,2024,1,AllClear
3,Bahrain Grand Prix,2024,1,AllClear
4,Bahrain Grand Prix,2024,1,AllClear
5,Bahrain Grand Prix,2024,1,AllClear
6,Bahrain Grand Prix,2024,1,AllClear
7,Bahrain Grand Prix,2024,1,AllClear
8,Bahrain Grand Prix,2024,1,AllClear
9,Bahrain Grand Prix,2024,2,Yellow
10,Bahrain Grand Prix,2024,2,Yellow
11,Bahrain Grand Prix,2024,2,Yellow
12,Bahrain Grand Prix,2024,1,AllClear
13,Bahrain Grand Prix,2024,1,AllClear
14,Bahrain Grand Prix,2024,1,AllClear
15,Bahrain Grand Prix,2024,1,AllClear
16,Bahrain Grand Prix,2024,1,AllClear
17,Bahrain Grand Prix,2024,1,AllClear
18,Bahrain Grand Prix,2024,1,AllClear
19,Bahrain Grand Prix,2024,1,AllClear
20,Bahrain Grand Prix,2024,1,AllClear
21,Bahrain Grand Prix,2024,1,AllClear
22,Bahrain Grand Prix,2024,1,AllClear
23,Bahrain Grand Prix,2024,1,AllClear
24,Bahrain Grand Prix,2024,1,AllClear
25,Bahrain Grand Prix,2024,1,AllClear
26,Bahrain Grand Prix,2024,1,AllClear
27,Bahrain Grand Prix,2024,1,AllClear
28,Bahrain Grand Prix,2024,1,AllClear
29,Bahrain Grand Prix,2024,1,AllClear
30,Bahrain Grand Prix,2024,1,AllClear
31,Bahrain Grand Prix,2024,1,AllClear
32,Bahrain Grand Prix,2024,1,AllClear
33,Bahrain Grand Prix,2024,1,AllClear
34,Bahrain Grand Prix,2024,1,AllClear
35,Bahrain Grand Prix,2024,1,AllClear
36,Bahrain Grand Prix,2024,1,AllClear
37,Bahrain Grand Prix,2024,1,AllClear
38,Bahrain Grand Prix,2024,1,AllClear
39,Bahrain Grand Prix,2024,1,AllClear
40,Bahrain Grand Prix,2024,1,AllClear
41,Bahrain Grand Prix,2024,1,AllClear
42,Bahrain Grand Prix,2024,1,AllClear
43,Bahrain Grand Prix,2024,1,AllClear
44,Bahrain Grand Prix,2024,1,AllClear
45,Bahrain Grand Prix,2024,1,AllClear
46,Bahrain Grand Prix,2024,1,AllClear
47,Bahrain Grand Prix,2024,1,AllClear
48,Bahrain Grand Prix,2024,1,AllClear
49,Bahrain Grand Prix,2024,1,AllClear
50,Bahrain Grand Prix,2024,1,AllClear
51,Bahrain Grand Prix,2024,1,AllClear
52,Bahrain Grand Prix,2024,1,AllClear
53,Bahrain Grand Prix,2024,1,AllClear
54,Bahrain Grand Prix,2024,1,AllClear
55,Bahrain Grand Prix,2024,1,AllClear
56,Bahrain Grand Prix,2024,1,AllClear
57,Bahrain Grand Prix,2024,1,AllClear
1,Saudi Arabian Grand Prix,2024,1,AllClear
2,Saudi Arabian Grand Prix,2024,1,AllClear
3,Saudi Arabian Grand Prix,2024,1,AllClear
4,Saudi Arabian Grand Prix,2024,1,AllClear
5,Saudi Arabian Grand Prix,2024,1,AllClear
6,Saudi Arabian Grand Prix,2024,4,SafetyCar
7,Saudi Arabian Grand Prix,2024,4,SafetyCar
8,Saudi Arabian Grand Prix,2024,4,SafetyCar
9,Saudi Arabian Grand Prix,2024,4,SafetyCar
10,Saudi Arabian Grand Prix,2024,1,AllClear
11,Saudi Arabian Grand Prix,2024,1,AllClear
12,Saudi Arabian Grand Prix,2024,1,AllClear
13,Saudi Arabian Grand Prix,2024,1,AllClear
14,Saudi Arabian Grand Prix,2024,1,AllClear
15,Saudi Arabian Grand Prix,2024,1,AllClear
16,Saudi Arabian Grand Prix,2024,1,AllClear
17,Saudi Arabian Grand Prix,2024,1,AllClear
18,Saudi Arabian Grand Prix,2024,1,AllClear
19,Saudi Arabian Grand Prix,2024,1,AllClear
20,Saudi Arabian Grand Prix,2024,1,AllClear
21,Saudi Arabian Grand Prix,2024,1,AllClear
22,Saudi Arabian Grand Prix,2024,1,AllClear
23,Saudi Arabian Grand Prix,2024,1,AllClear
24,Saudi Arabian Grand Prix,2024,1,AllClear
25,Saudi Arabian Grand Prix,2024,1,AllClear
26,Saudi Arabian Grand Prix,2024,1,AllClear
27,Saudi Arabian Grand Prix,2024,1,AllClear
28,Saudi Arabian Grand Prix,2024,1,AllClear
29,Saudi Arabian Grand Prix,2024,1,AllClear
30,Saudi Arabian Grand Prix,2024,1,AllClear
31,Saudi Arabian Grand Prix,2024,1,AllClear
32,Saudi Arabian Grand Prix,2024,1,AllClear
33,Saudi Arabian Grand Prix,2024,1,AllClear
34,Saudi Arabian Grand Prix,2024,1,AllClear
35,Saudi Arabian Grand Prix,2024,1,AllClear
36,Saudi Arabian Grand Prix,2024,1,AllClear
37,Saudi Arabian Grand Prix,2024,1,AllClear
38,Saudi Arabian Grand Prix,2024,1,AllClear
39,Saudi Arabian Grand Prix,2024,1,AllClear
40,Saudi Arabian Grand Prix,2024,1,AllClear
41,Saudi Arabian Grand Prix,2024,1,AllClear
42,Saudi Arabian Grand Prix,2024,1,AllClear
43,Saudi Arabian Grand Prix,2024,1,AllClear
44,Saudi Arabian Grand Prix,2024,1,AllClear
45,Saudi Arabian Grand Prix,2024,1,AllClear
46,Saudi Arabian Grand Prix,2024,1,AllClear
47,Saudi Arabian Grand Prix,2024,1,AllClear
48,Saudi Arabian Grand Prix,2024,1,AllClear
49,Saudi Arabian Grand Prix,2024,1,AllClear
50,Saudi Arabian Grand Prix,2024,1,AllClear
1,Australian Grand Prix,2024,1,AllClear
2,Australian Grand Prix,2024,1,AllClear
3,Australian Grand Prix,2024,1,AllClear
4,Australian Grand Prix,2024,1,AllClear
5,Australian Grand Prix,2024,1,AllClear
6,Australian Grand Prix,2024,1,AllClear
7,Australian Grand Prix,2024,1,AllClear
8,Australian Grand Prix,2024,1,AllClear
9,Australian Grand Prix,2024,1,AllClear
10,Australian Grand Prix,2024,1,AllClear
11,Australian Grand Prix,2024,1,AllClear
12,Australian Grand Prix,2024,1,AllClear
13,Australian Grand Prix,2024,1,AllClear
14,Australian Grand Prix,2024,1,AllClear
15,Australian Grand Prix,2024,1,AllClear
16,Australian Grand Prix,2024,6,VSC
17,Australian Grand Prix,2024,6,VSC
18,Australian Grand Prix,2024,6,VSC
19,Australian Grand Prix,2024,1,AllClear
20,Australian Grand Prix,2024,1,AllClear
21,Australian Grand Prix,2024,1,AllClear
22,Australian Grand Prix,2024,1,AllClear
23,Australian Grand Prix,2024,1,AllClear
24,Australian Grand Prix,2024,1,AllClear
25,Australian Grand Prix,2024,1,AllClear
26,Australian Grand Prix,2024,1,AllClear
