Driver,Stint,Compound,GP,Year,StintLength
GAS,1,MEDIUM,Australian Grand Prix,2019,37
GAS,2,SOFT,Australian Grand Prix,2019,20
PER,1,SOFT,Australian Grand Prix,2019,13
PER,2,HARD,Australian Grand Prix,2019,44
LEC,1,SOFT,Australian Grand Prix,2019,28
LEC,2,HARD,Australian Grand Prix,2019,30
STR,1,MEDIUM,Australian Grand Prix,2019,27
STR,2,HARD,Australian Grand Prix,2019,30
MAG,1,SOFT,Australian Grand Prix,2019,14
MAG,2,MEDIUM,Australian Grand Prix,2019,44
ALB,1,SOFT,Australian Grand Prix,2019,14
ALB,2,MEDIUM,Australian Grand Prix,2019,43
KVY,1,MEDIUM,Australian Grand Prix,2019,26
KVY,2,HARD,Australian Grand Prix,2019,31
HUL,1,SOFT,Australian Grand Prix,2019,13
HUL,2,HARD,Australian Grand Prix,2019,44
RIC,1,SOFT,Australian Grand Prix,2019,1
RIC,2,HARD,Australian Grand Prix,2019,28
VER,1,SOFT,Australian Grand Prix,2019,25
VER,2,MEDIUM,Australian Grand Prix,2019,33
NOR,1,SOFT,Australian Grand Prix,2019,15
NOR,2,HARD,Australian Grand Prix,2019,42
HAM,1,SOFT,Australian Grand Prix,2019,15
HAM,2,MEDIUM,Australian Grand Prix,2019,43
VET,1,SOFT,Australian Grand Prix,2019,14
VET,2,MEDIUM,Australian Grand Prix,2019,44
SAI,1,SOFT,Australian Grand Prix,2019,10
RUS,1,MEDIUM,Australian Grand Prix,2019,26
RUS,2,SOFT,Australian Grand Prix,2019,16
RUS,3,HARD,Australian Grand Prix,2019,14
RAI,1,SOFT,Australian Grand Prix,2019,12
RAI,2,MEDIUM,Australian Grand Prix,2019,45
BOT,1,SOFT,Australian Grand Prix,2019,23
BOT,2,MEDIUM,Australian Grand Prix,2019,35
GRO,1,SOFT,Australian Grand Prix,2019,15
GRO,2,MEDIUM,Australian Grand Prix,2019,15
KUB,1,HARD,Australian Grand Prix,2019,1
KUB,2,MEDIUM,Australian Grand Prix,2019,27
KUB,3,SOFT,Australian Grand Prix,2019,16
KUB,4,SOFT,Australian Grand Prix,2019,11
GIO,1,MEDIUM,Australian Grand Prix,2019,27
GIO,2,SOFT,Australian Grand Prix,2019,30
GAS,1,SOFT,Bahrain Grand Prix,2019,9
GAS,2,SOFT,Bahrain Grand Prix,2019,30
GAS,3,MEDIUM,Bahrain Grand Prix,2019,18
PER,1,SOFT,Bahrain Grand Prix,2019,8
PER,2,MEDIUM,Bahrain Grand Prix,2019,25
PER,3,MEDIUM,Bahrain Grand Prix,2019,24
LEC,1,SOFT,Bahrain Grand Prix,2019,13
LEC,2,MEDIUM,Bahrain Grand Prix,2019,23
LEC,3,MEDIUM,Bahrain Grand Prix,2019,21
STR,1,SOFT,Bahrain Grand Prix,2019,1
STR,2,MEDIUM,Bahrain Grand Prix,2019,22
STR,3,MEDIUM,Bahrain Grand Prix,2019,33
MAG,1,SOFT,Bahrain Grand Prix,2019,10
MAG,2,MEDIUM,Bahrain Grand Prix,2019,28
MAG,3,SOFT,Bahrain Grand Prix,2019,18
ALB,1,SOFT,Bahrain Grand Prix,2019,9
ALB,2,SOFT,Bahrain Grand Prix,2019,16
ALB,3,MEDIUM,Bahrain Grand Prix,2019,32
KVY,1,SOFT,Bahrain Grand Prix,2019,12
KVY,2,MEDIUM,Bahrain Grand Prix,2019,26
KVY,3,SOFT,Bahrain Grand Prix,2019,18
HUL,1,SOFT,Bahrain Grand Prix,2019,12
HUL,2,SOFT,Bahrain Grand Prix,2019,20
HUL,3,MEDIUM,Bahrain Grand Prix,2019,22
RIC,1,SOFT,Bahrain Grand Prix,2019,24
RIC,2,MEDIUM,Bahrain Grand Prix,2019,30
VER,1,SOFT,Bahrain Grand Prix,2019,11
VER,2,MEDIUM,Bahrain Grand Prix,2019,21
VER,3,MEDIUM,Bahrain Grand Prix,2019,25
NOR,1,SOFT,Bahrain Grand Prix,2019,10
NOR,2,MEDIUM,Bahrain Grand Prix,2019,24
NOR,3,SOFT,Bahrain Grand Prix,2019,23
HAM,1,SOFT,Bahrain Grand Prix,2019,13
HAM,2,SOFT,Bahrain Grand Prix,2019,21
HAM,3,MEDIUM,Bahrain Grand Prix,2019,23
VET,1,SOFT,Bahrain Grand Prix,2019,14
VET,2,MEDIUM,Bahrain Grand Prix,2019,21
VET,3,MEDIUM,Bahrain Grand Prix,2019,3
VET,4,SOFT,Bahrain Grand Prix,2019,19
SAI,1,SOFT,Bahrain Grand Prix,2019,4
SAI,2,MEDIUM,Bahrain Grand Prix,2019,20
SAI,3,HARD,Bahrain Grand Prix,2019,16
SAI,4,SOFT,Bahrain Grand Prix,2019,13
RUS,1,SOFT,Bahrain Grand Prix,2019,12
RUS,2,MEDIUM,Bahrain Grand Prix,2019,14
RUS,3,MEDIUM,Bahrain Grand Prix,2019,30
RAI,1,SOFT,Bahrain Grand Prix,2019,9
RAI,2,MEDIUM,Bahrain Grand Prix,2019,24
RAI,3,SOFT,Bahrain Grand Prix,2019,24
BOT,1,SOFT,Bahrain Grand Prix,2019,12
BOT,2,MEDIUM,Bahrain Grand Prix,2019,27
BOT,3,SOFT,Bahrain Grand Prix,2019,18
GRO,1,SOFT,Bahrain Grand Prix,2019,1
GRO,2,MEDIUM,Bahrain Grand Prix,2019,15
KUB,1,MEDIUM,Bahrain Grand Prix,2019,11
KUB,2,SOFT,Bahrain Grand Prix,2019,16
KUB,3,MEDIUM,Bahrain Grand Prix,2019,28
GIO,1,SOFT,Bahrain Grand Prix,2019,16
GIO,2,MEDIUM,Bahrain Grand Prix,2019,25
GIO,3,SOFT,Bahrain Grand Prix,2019,16
HAM,1,MEDIUM,Chinese Grand Prix,2019,22
HAM,2,HARD,Chinese Grand Prix,2019,14
HAM,3,MEDIUM,Chinese Grand Prix,2019,20
BOT,1,MEDIUM,Chinese Grand Prix,2019,21
BOT,2,HARD,Chinese Grand Prix,2019,15
BOT,3,MEDIUM,Chinese Grand Prix,2019,20
VET,1,MEDIUM,Chinese Grand Prix,2019,18
VET,2,HARD,Chinese Grand Prix,2019,17
VET,3,MEDIUM,Chinese Grand Prix,2019,21
VER,1,MEDIUM,Chinese Grand Prix,2019,17
VER,2,HARD,Chinese Grand Prix,2019,17
VER,3,MEDIUM,Chinese Grand Prix,2019,22
LEC,1,MEDIUM,Chinese Grand Prix,2019,22
LEC,2,HARD,Chinese Grand Prix,2019,20
LEC,3,MEDIUM,Chinese Grand Prix,2019,14
GAS,1,SOFT,Chinese Grand Prix,2019,19
GAS,2,HARD,Chinese Grand Prix,2019,20
GAS,3,MEDIUM,Chinese Grand Prix,2019,14
GAS,4,SOFT,Chinese Grand Prix,2019,3
RIC,1,SOFT,Chinese Grand Prix,2019,18
RIC,2,HARD,Chinese Grand Prix,2019,37
PER,1,MEDIUM,Chinese Grand Prix,2019,20
PER,2,HARD,Chinese Grand Prix,2019,35
RAI,1,MEDIUM,Chinese Grand Prix,2019,25
RAI,2,HARD,Chinese Grand Prix,2019,30
ALB,1,SOFT,Chinese Grand Prix,2019,19
ALB,2,HARD,Chinese Grand Prix,2019,36
GRO,1,SOFT,Chinese Grand Prix,2019,8
GRO,2,HARD,Chinese Grand Prix,2019,27
GRO,3,MEDIUM,Chinese Grand Prix,2019,20
STR,1,MEDIUM,Chinese Grand Prix,2019,20
STR,2,HARD,Chinese Grand Prix,2019,24
STR,3,SOFT,Chinese Grand Prix,2019,11
MAG,1,SOFT,Chinese Grand Prix,2019,9
MAG,2,HARD,Chinese Grand Prix,2019,24
MAG,3,MEDIUM,Chinese Grand Prix,2019,22
SAI,1,MEDIUM,Chinese Grand Prix,2019,1
SAI,2,HARD,Chinese Grand Prix,2019,35
SAI,3,SOFT,Chinese Grand Prix,2019,19
GIO,1,SOFT,Chinese Grand Prix,2019,7
GIO,2,MEDIUM,Chinese Grand Prix,2019,23
GIO,3,MEDIUM,Chinese Grand Prix,2019,25
RUS,1,MEDIUM,Chinese Grand Prix,2019,22
RUS,2,HARD,Chinese Grand Prix,2019,27
RUS,3,SOFT,Chinese Grand Prix,2019,5
KUB,1,MEDIUM,Chinese Grand Prix,2019,26
KUB,2,HARD,Chinese Grand Prix,2019,28
NOR,1,MEDIUM,Chinese Grand Prix,2019,1
NOR,2,HARD,Chinese Grand Prix,2019,16
NOR,3,MEDIUM,Chinese Grand Prix,2019,17
NOR,4,SOFT,Chinese Grand Prix,2019,16
KVY,1,MEDIUM,Chinese Grand Prix,2019,7
KVY,2,MEDIUM,Chinese Grand Prix,2019,18
KVY,3,HARD,Chinese Grand Prix,2019,5
KVY,4,SOFT,Chinese Grand Prix,2019,11
HUL,1,SOFT,Chinese Grand Prix,2019,11
HUL,2,HARD,Chinese Grand Prix,2019,5
GAS,1,MEDIUM,Azerbaijan Grand Prix,2019,39
PER,1,SOFT,Azerbaijan Grand Prix,2019,10
PER,2,MEDIUM,Azerbaijan Grand Prix,2019,41
LEC,1,MEDIUM,Azerbaijan Grand Prix,2019,34
LEC,2,SOFT,Azerbaijan Grand Prix,2019,13
