Year,GP,Driver,Strategy,PitStops,Stint,Compound,StintLength,StintNumber
2019,Australian Grand Prix,GAS,MEDIUM-SOFT,1,Stint 1,MEDIUM,37,1
2019,Australian Grand Prix,GAS,MEDIUM-SOFT,1,Stint 2,SOFT,20,2
2019,Australian Grand Prix,PER,SOFT-HARD,1,Stint 1,SOFT,13,1
2019,Australian Grand Prix,PER,SOFT-HARD,1,Stint 2,HARD,44,2
2019,Australian Grand Prix,LEC,SOFT-HARD,1,Stint 1,SOFT,28,1
2019,Australian Grand Prix,LEC,SOFT-HARD,1,Stint 2,HARD,30,2
2019,Australian Grand Prix,STR,MEDIUM-HARD,1,Stint 1,MEDIUM,27,1
2019,Australian Grand Prix,STR,MEDIUM-HARD,1,Stint 2,HARD,30,2
2019,Australian Grand Prix,MAG,SOFT-MEDIUM,1,Stint 1,SOFT,14,1
2019,Australian Grand Prix,MAG,SOFT-MEDIUM,1,Stint 2,MEDIUM,44,2
2019,Australian Grand Prix,ALB,SOFT-MEDIUM,1,Stint 1,SOFT,14,1
2019,Australian Grand Prix,ALB,SOFT-MEDIUM,1,Stint 2,MEDIUM,43,2
2019,Australian Grand Prix,KVY,MEDIUM-HARD,1,Stint 1,MEDIUM,26,1
2019,Australian Grand Prix,KVY,MEDIUM-HARD,1,Stint 2,HARD,31,2
2019,Australian Grand Prix,HUL,SOFT-HARD,1,Stint 1,SOFT,13,1
2019,Australian Grand Prix,HUL,SOFT-HARD,1,Stint 2,HARD,44,2
2019,Australian Grand Prix,RIC,SOFT-HARD,1,Stint 1,SOFT,1,1
2019,Australian Grand Prix,RIC,SOFT-HARD,1,Stint 2,HARD,28,2
2019,Australian Grand Prix,VER,SOFT-MEDIUM,1,Stint 1,SOFT,25,1
2019,Australian Grand Prix,VER,SOFT-MEDIUM,1,Stint 2,MEDIUM,33,2
2019,Australian Grand Prix,NOR,SOFT-HARD,1,Stint 1,SOFT,15,1
2019,Australian Grand Prix,NOR,SOFT-HARD,1,Stint 2,HARD,42,2
2019,Australian Grand Prix,HAM,SOFT-MEDIUM,1,Stint 1,SOFT,15,1
2019,Australian Grand Prix,HAM,SOFT-MEDIUM,1,Stint 2,MEDIUM,43,2
2019,Australian Grand Prix,VET,SOFT-MEDIUM,1,Stint 1,SOFT,14,1
2019,Australian Grand Prix,VET,SOFT-MEDIUM,1,Stint 2,MEDIUM,44,2
2019,Australian Grand Prix,SAI,SOFT,0,Stint 1,SOFT,10,1
2019,Australian Grand Prix,RUS,MEDIUM-SOFT-HARD,2,Stint 1,MEDIUM,26,1
2019,Australian Grand Prix,RUS,MEDIUM-SOFT-HARD,2,Stint 2,SOFT,16,2
2019,Australian Grand Prix,RUS,MEDIUM-SOFT-HARD,2,Stint 3,HARD,14,3
2019,Australian Grand Prix,RAI,SOFT-MEDIUM,1,Stint 1,SOFT,12,1
2019,Australian Grand Prix,RAI,SOFT-MEDIUM,1,Stint 2,MEDIUM,45,2
2019,Australian Grand Prix,BOT,SOFT-MEDIUM,1,Stint 1,SOFT,23,1
2019,Australian Grand Prix,BOT,SOFT-MEDIUM,1,Stint 2,MEDIUM,35,2
2019,Australian Grand Prix,GRO,SOFT-MEDIUM,1,Stint 1,SOFT,15,1
2019,Australian Grand Prix,GRO,SOFT-MEDIUM,1,Stint 2,MEDIUM,15,2
2019,Australian Grand Prix,KUB,HARD-MEDIUM-SOFT-SOFT,3,Stint 1,HARD,1,1
2019,Australian Grand Prix,KUB,HARD-MEDIUM-SOFT-SOFT,3,Stint 2,MEDIUM,27,2
2019,Australian Grand Prix,KUB,HARD-MEDIUM-SOFT-SOFT,3,Stint 3,SOFT,16,3
