driverId,driverRef,number,code,forename,surname,dob,nationality
1,driver_1,1,D01,Driver1,Demo,1995-01-01,Unknown
2,driver_2,2,D02,Driver2,Demo,1995-01-01,Unknown
3,driver_3,3,D03,Driver3,Demo,1995-01-01,Unknown
4,driver_4,4,D04,Driver4,Demo,1995-01-01,Unknown
5,driver_5,5,D05,Driver5,Demo,1995-01-01,Unknown
6,driver_6,6,D06,Driver6,Demo,1995-01-01,Unknown
7,driver_7,7,D07,Driver7,Demo,1995-01-01,Unknown
8,driver_8,8,D08,Driver8,Demo,1995-01-01,Unknown
9,driver_9,9,D09,Driver9,Demo,1995-01-01,Unknown
10,driver_10,10,D10,Driver10,Demo,1995-01-01,Unknown
11,driver_11,11,D11,Driver11,Demo,1995-01-01,Unknown
12,driver_12,12,D12,Driver12,Demo,1995-01-01,Unknown
13,driver_13,13,D13,Driver13,Demo,1995-01-01,Unknown
14,driver_14,14,D14,Driver14,Demo,1995-01-01,Unknown
15,driver_15,15,D15,Driver15,Demo,1995-01-01,Unknown
16,driver_16,16,D16,Driver16,Demo,1995-01-01,Unknown
17,driver_17,17,D17,Driver17,Demo,1995-01-01,Unknown
18,driver_18,18,D18,Driver18,Demo,1995-01-01,Unknown
19,driver_19,19,D19,Driver19,Demo,1995-01-01,Unknown
20,driver_20,20,D20,Driver20,Demo,1995-01-01,Unknown
