raceId,driverId,lap,milliseconds,position,time
1,10,1,86289,7,1:26.289
1,10,2,86447,6,1:26.447
1,10,3,86492,5,1:26.492
1,10,4,86252,4,1:26.252
1,10,5,86910,7,1:26.910
1,10,6,86619,7,1:26.619
1,10,7,86846,7,1:26.846
1,10,8,87069,9,1:27.069
1,10,9,87110,7,1:27.110
1,10,10,87243,8,1:27.243
1,10,11,87022,7,1:27.022
1,10,12,86959,5,1:26.959
1,10,13,87137,8,1:27.137
1,10,14,86613,2,1:26.613
1,10,15,86753,2,1:26.753
1,10,16,86852,3,1:26.852
1,10,17,89423,9,1:29.423
1,10,18,88256,10,1:28.256
1,10,19,86526,3,1:26.526
1,10,20,86969,9,1:26.969
1,10,21,86416,3,1:26.416
1,10,22,86728,6,1:26.728
1,10,23,86509,3,1:26.509
1,10,24,86779,7,1:26.779
1,10,25,87253,10,1:27.253
1,10,26,86379,1,1:26.379
1,10,27,87207,8,1:27.207
1,10,28,87185,6,1:27.185
1,10,29,86935,3,1:26.935
1,10,30,86678,5,1:26.678
1,10,31,87274,8,1:27.274
1,10,32,87107,6,1:27.107
1,10,33,87430,7,1:27.430
1,10,34,87403,8,1:27.403
1,10,35,88021,11,1:28.021
1,10,36,87406,9,1:27.406
1,10,37,89518,11,1:29.518
1,10,38,88779,9,1:28.779
1,10,39,86777,2,1:26.777
1,10,40,87218,8,1:27.218
1,10,41,86307,2,1:26.307
1,10,42,86548,5,1:26.548
1,10,43,86488,4,1:26.488
1,10,44,86726,5,1:26.726
1,10,45,86414,5,1:26.414
1,10,46,87183,10,1:27.183
1,10,47,86919,6,1:26.919
1,10,48,86514,4,1:26.514
1,10,49,86722,5,1:26.722
1,10,50,87245,9,1:27.245
1,10,51,87479,9,1:27.479
1,10,52,87941,11,1:27.941
1,10,53,88316,12,1:28.316
1,10,54,87461,9,1:27.461
1,10,55,87001,5,1:27.001
1,10,56,86635,2,1:26.635
1,19,1,86564,11,1:26.564
1,19,2,87050,11,1:27.050
1,19,3,86774,8,1:26.774
1,19,4,86713,7,1:26.713
1,19,5,86451,4,1:26.451
1,19,6,86274,4,1:26.274
1,19,7,86756,4,1:26.756
1,19,8,86965,7,1:26.965
1,19,9,87675,10,1:27.675
1,19,10,87140,7,1:27.140
1,19,11,87501,11,1:27.501
1,19,12,87022,6,1:27.022
1,19,13,86829,1,1:26.829
1,19,14,86963,5,1:26.963
1,19,15,87104,5,1:27.104
1,19,16,88185,11,1:28.185
1,19,17,87178,5,1:27.178
1,19,18,87829,9,1:27.829
1,19,19,89789,12,1:29.789
1,19,20,88134,11,1:28.134
1,19,21,86511,4,1:26.511
1,19,22,86956,8,1:26.956
1,19,23,86681,6,1:26.681
1,19,24,86452,2,1:26.452
1,19,25,86483,5,1:26.483
1,19,26,87054,6,1:27.054
1,19,27,87610,11,1:27.610
1,19,28,87148,5,1:27.148
1,19,29,87097,4,1:27.097
1,19,30,87292,8,1:27.292
1,19,31,87708,11,1:27.708
1,19,32,87366,9,1:27.366
1,19,33,87188,5,1:27.188
1,19,34,87783,12,1:27.783
1,19,35,87588,9,1:27.588
1,19,36,88035,11,1:28.035
1,19,37,89590,12,1:29.590
1,19,38,89168,10,1:29.168
1,19,39,86672,1,1:26.672
1,19,40,86641,3,1:26.641
1,19,41,87349,7,1:27.349
1,19,42,86468,4,1:26.468
1,19,43,86589,6,1:26.589
1,19,44,87187,7,1:27.187
1,19,45,86857,8,1:26.857
1,19,46,87042,8,1:27.042
1,19,47,87029,9,1:27.029
1,19,48,87254,11,1:27.254
1,19,49,87684,12,1:27.684
1,19,50,87255,10,1:27.255
1,19,51,87499,10,1:27.499
1,19,52,86574,1,1:26.574
