slice,value,n,pr_auc,roc_auc,positive_rate
circuit_id,1,1390,0.8630050174861832,0.941961209866336,0.23597122302158274
circuit_id,2,1337,0.882712387315994,0.9564079074252653,0.2243829468960359
circuit_id,3,883,0.8683957745076931,0.9344402890644772,0.24009060022650056
circuit_id,4,953,0.8603979326858818,0.9420253007565422,0.23084994753410285
circuit_id,5,950,0.8550747875474431,0.9543463611859838,0.21894736842105264
circuit_id,6,1004,0.8386281892490441,0.9384450371057514,0.21912350597609562
circuit_id,7,963,0.8694076651334766,0.9538608592317033,0.2118380062305296
circuit_id,8,982,0.8727137821304672,0.9485191810773206,0.21181262729124237
year,2018,2820,0.8621194106141996,0.9415093652950312,0.22836879432624113
year,2019,2785,0.8857763270123584,0.9573567756835283,0.22262118491921004
year,2020,2857,0.8448963681099854,0.9418373501652324,0.22261113055652781
era,post_2010,8462,0.8642433404174712,0.9469277659250228,0.22453320727960294
stint_number,1,3977,0.8576316066557981,0.9454246900691247,0.21724918280110636
stint_number,2,3861,0.8669210480403778,0.9481588069551032,0.22377622377622378
stint_number,3,624,0.8854474883117807,0.9477387322494341,0.27564102564102566
laps_since_bucket,4-8,2375,0.12181977401840112,0.8363832789487609,0.012210526315789474
laps_since_bucket,9-15,3142,0.6524906017388477,0.8155260277477683,0.218968809675366
laps_since_bucket,16+,1520,0.9444931268329634,0.8272134165765758,0.7782894736842105
