slice,value,n,pr_auc,roc_auc,positive_rate
circuit_id,1,465,0.8272506675513782,0.9242841966815055,0.24086021505376345
circuit_id,2,427,0.8327038378039942,0.9458256880733945,0.234192037470726
circuit_id,5,462,0.8655185155573106,0.9537952500523122,0.23376623376623376
circuit_id,6,517,0.7869719614892716,0.9258046737213405,0.21663442940038685
circuit_id,7,477,0.8204025925878276,0.9462334217506632,0.20964360587002095
circuit_id,8,509,0.8247555231384904,0.942153371320038,0.2043222003929273
year,2020,2857,0.8167997399542786,0.9350531943512329,0.22261113055652781
era,post_2010,2857,0.8167997399542786,0.9350531943512329,0.22261113055652781
stint_number,1,1356,0.8373104974099528,0.9493406679151061,0.21238938053097345
stint_number,2,1290,0.8043253366151504,0.9268338323353293,0.22325581395348837
stint_number,3,211,0.8634711730896418,0.9356512141280353,0.2843601895734597
laps_since_bucket,4-8,795,0.17842888278325597,0.883385795789888,0.016352201257861635
laps_since_bucket,9-15,1047,0.6119237741586958,0.8022387275154803,0.22349570200573066
laps_since_bucket,16+,538,0.9025895120864694,0.7912130570556063,0.7230483271375465
